frame,time_ps,site,alternate_energy_eV,bright_energy_eV,common_mode_energy_eV,signed_bright_minus_alternate_gap_meV,common_mode_fluctuation_meV,gap_fluctuation_meV
0,0.0,PYR2,3.999,4.068,4.0335,68.9999999999995,-13.857142857141902,-13.428571428571818
1,5.0,PYR2,3.994,4.083,4.0385,88.99999999999997,-8.857142857142009,6.571428571428645
2,10.0,PYR2,4.009,4.094,4.051500000000001,84.99999999999997,4.14285714285878,2.5714285714286413
3,15.0,PYR2,4.015,4.104,4.0595,89.00000000000041,12.142857142857899,6.571428571429089
4,20.0,PYR2,4.015,4.101,4.058,86.0000000000003,10.642857142857842,3.5714285714289753
5,25.0,PYR2,4.006,4.068,4.037,61.99999999999939,-10.357142857142065,-20.428571428571935
6,30.0,PYR2,4.015,4.081,4.048,66.00000000000072,0.6428571428580554,-16.4285714285706
7,35.0,PYR2,4.011,4.103,4.057,91.99999999999963,9.642857142858396,9.571428571428314
8,40.0,PYR2,3.994,4.079,4.0365,84.99999999999952,-10.857142857141788,2.5714285714281973
9,45.0,PYR2,4.017,4.094,4.0555,76.99999999999996,8.14285714285834,-5.428571428571366
10,50.0,PYR2,3.998,4.079,4.0385,80.99999999999952,-8.857142857142009,-1.4285714285718065
11,55.0,PYR2,4.008,4.098,4.053,89.99999999999986,5.642857142857949,7.571428571428535
12,60.0,PYR2,3.992,4.079,4.0355,86.99999999999974,-11.857142857142122,4.571428571428421
13,65.0,PYR2,4.019,4.103,4.061,83.99999999999963,13.642857142857956,1.5714285714283072
14,70.0,PYR2,4.007,4.092,4.0495,84.99999999999997,2.1428571428581122,2.5714285714286413
15,75.0,PYR2,4.009,4.099,4.054,89.99999999999986,6.642857142858283,7.571428571428535
16,80.0,PYR2,4.005,4.095,4.05,89.99999999999986,2.642857142857835,7.571428571428535
17,85.0,PYR2,3.997,4.09,4.0435,92.99999999999997,-3.857142857142115,10.571428571428648
18,90.0,PYR2,4.011,4.087,4.0489999999999995,75.99999999999963,1.6428571428575012,-6.4285714285717
19,95.0,PYR2,3.998,4.085,4.0415,86.99999999999974,-5.857142857141895,4.571428571428421
20,100.0,PYR2,4.01,4.078,4.0440000000000005,68.00000000000051,-3.357142857141504,-14.42857142857082
0,0.0,PYR3,4.0,4.079,4.0395,78.99999999999974,-1.119047619047464,4.142857142856796
1,5.0,PYR3,4.01,4.065,4.0375,55.000000000000604,-3.119047619048132,-19.85714285714234
2,10.0,PYR3,4.013,4.086,4.0495,73.0000000000004,8.880952380952323,-1.8571428571425437
3,15.0,PYR3,4.004,4.071,4.0375,67.00000000000017,-3.119047619048132,-7.857142857142771
4,20.0,PYR3,4.014,4.095,4.0545,80.99999999999952,13.880952380952216,6.142857142856576
5,25.0,PYR3,3.995,4.052,4.0235,56.999999999999496,-17.11904761904748,-17.857142857143447
6,30.0,PYR3,4.019,4.096,4.0575,76.99999999999996,16.88095238095233,2.142857142857016
7,35.0,PYR3,3.969,4.07,4.0195,101.00000000000043,-21.119047619047926,26.14285714285748
8,40.0,PYR3,4.007,4.073,4.04,66.00000000000072,-0.6190476190477412,-8.857142857142216
9,45.0,PYR3,4.002,4.075,4.0385,73.0000000000004,-2.119047619047798,-1.8571428571425437
10,50.0,PYR3,3.996,4.065,4.0305,69.0000000000004,-10.119047619047805,-5.857142857142547
11,55.0,PYR3,3.979,4.071,4.025,91.99999999999963,-15.619047619047421,17.142857142856695
12,60.0,PYR3,4.012,4.086,4.0489999999999995,74.00000000000074,8.380952380951712,-0.8571428571422096
13,65.0,PYR3,4.007,4.074,4.0405,67.00000000000017,-0.1190476190480183,-7.857142857142771
14,70.0,PYR3,4.014,4.096,4.055,81.99999999999986,14.380952380951939,7.14285714285691
15,75.0,PYR3,4.007,4.087,4.047,80.00000000000007,6.380952380951932,5.14285714285713
16,80.0,PYR3,3.979,4.073,4.026,94.00000000000031,-14.619047619047976,19.142857142857363
17,85.0,PYR3,4.014,4.091,4.0525,76.99999999999996,11.880952380952436,2.142857142857016
18,90.0,PYR3,4.017,4.089,4.053000000000001,72.00000000000006,12.380952380953048,-2.8571428571428776
19,95.0,PYR3,4.009,4.079,4.0440000000000005,69.9999999999994,3.3809523809527064,-4.857142857143545
20,100.0,PYR3,4.0,4.066,4.0329999999999995,65.99999999999983,-7.6190476190483025,-8.857142857143105
0,0.0,PYR4,4.013,4.09,4.0515,76.99999999999996,-3.4285714285715585,5.619047619047482
1,5.0,PYR4,4.017,4.089,4.053000000000001,72.00000000000006,-1.9285714285706135,0.6190476190475885
2,10.0,PYR4,4.021,4.093,4.057,72.00000000000006,2.071428571428946,0.6190476190475885
3,15.0,PYR4,4.019,4.097,4.058,78.00000000000028,3.0714285714283918,6.619047619047816
4,20.0,PYR4,4.024,4.087,4.0555,62.99999999999972,0.5714285714288891,-8.380952380952753
5,25.0,PYR4,4.034,4.089,4.0615000000000006,55.000000000000604,6.5714285714291165,-16.38095238095187
6,30.0,PYR4,4.029,4.092,4.060499999999999,62.99999999999972,5.571428571427894,-8.380952380952753
7,35.0,PYR4,4.02,4.093,4.0565,73.0000000000004,1.571428571428335,1.6190476190479224
8,40.0,PYR4,4.02,4.092,4.055999999999999,72.00000000000006,1.0714285714277239,0.6190476190475885
9,45.0,PYR4,4.019,4.08,4.0495,60.99999999999994,-5.428571428571338,-10.380952380952532
10,50.0,PYR4,4.02,4.099,4.0595,79.00000000000063,4.571428571428449,7.61904761904815
11,55.0,PYR4,4.016,4.09,4.053,73.99999999999984,-1.9285714285715017,2.619047619047368
12,60.0,PYR4,4.035,4.104,4.0695,68.99999999999994,14.571428571428235,-2.3809523809525253
13,65.0,PYR4,4.031,4.102,4.0665,71.00000000000063,11.571428571428122,-0.38095238095185724
14,70.0,PYR4,3.978,4.069,4.0235,90.99999999999974,-31.42857142857114,19.619047619047272
15,75.0,PYR4,4.026,4.095,4.060499999999999,68.99999999999994,5.571428571427894,-2.3809523809525253
16,80.0,PYR4,4.021,4.088,4.0545,67.00000000000017,-0.4285714285714448,-4.380952380952305
17,85.0,PYR4,4.023,4.095,4.058999999999999,72.00000000000006,4.0714285714278375,0.6190476190475885
18,90.0,PYR4,4.022,4.088,4.055,65.99999999999983,0.07142857142827808,-5.380952380952639
19,95.0,PYR4,4.0,4.088,4.0440000000000005,88.00000000000009,-10.928571428570955,16.619047619047603
20,100.0,PYR4,4.016,4.083,4.0495,67.00000000000017,-5.428571428571338,-4.380952380952305
0,0.0,PYR5,3.845,3.779,3.8120000000000003,-66.00000000000028,-0.3809523809521487,4.857142857142574
1,5.0,PYR5,3.839,3.756,3.7975,-83.00000000000018,-14.88095238095255,-12.14285714285733
2,10.0,PYR5,3.847,3.779,3.8129999999999997,-68.00000000000006,0.6190476190472971,2.857142857142794
3,15.0,PYR5,3.852,3.75,3.801,-101.99999999999987,-11.38095238095227,-31.142857142857014
4,20.0,PYR5,3.815,3.761,3.7880000000000003,-53.99999999999983,-24.38095238095217,16.857142857143028
5,25.0,PYR5,3.871,3.797,3.834,-73.99999999999984,21.61904761904765,-3.142857142856989
6,30.0,PYR5,3.845,3.776,3.8105,-69.0000000000004,-1.8809523809522055,1.8571428571424602
7,35.0,PYR5,3.859,3.79,3.8245,-68.99999999999994,12.119047619047585,1.8571428571429043
8,40.0,PYR5,3.871,3.793,3.832,-77.99999999999984,19.619047619047425,-7.142857142856992
9,45.0,PYR5,3.84,3.75,3.795,-89.99999999999986,-17.380952380952497,-19.142857142857004
10,50.0,PYR5,3.859,3.791,3.825,-68.00000000000006,12.619047619047752,2.857142857142794
11,55.0,PYR5,3.854,3.787,3.8205,-67.00000000000017,8.119047619047581,3.857142857142684
12,60.0,PYR5,3.87,3.797,3.8335,-72.99999999999996,21.119047619047482,-2.1428571428570993
13,65.0,PYR5,3.836,3.783,3.8095,-52.999999999999936,-2.8809523809525395,17.857142857142918
14,70.0,PYR5,3.843,3.785,3.814,-57.99999999999983,1.619047619047631,12.857142857143025
15,75.0,PYR5,3.861,3.797,3.829,-64.00000000000006,16.619047619047755,6.857142857142798
16,80.0,PYR5,3.848,3.787,3.8175,-60.99999999999994,5.119047619047468,9.857142857142911
17,85.0,PYR5,3.815,3.756,3.7855,-59.00000000000016,-26.88095238095256,11.85714285714269
18,90.0,PYR5,3.835,3.753,3.794,-81.99999999999986,-18.380952380952387,-11.142857142856997
19,95.0,PYR5,3.851,3.781,3.816,-69.99999999999984,3.619047619047411,0.8571428571430145
20,100.0,PYR5,3.848,3.768,3.808,-80.00000000000007,-4.380952380952596,-9.142857142857217
